datum,kunde_id,ereignis,detail,kommentar
2025-08-13,K0492,Kunde verloren,Preis / Wettbewerb,
2025-08-14,K0218,Neukunde Start,Anfrage Platform,
2025-08-15,K0166,Kunde verloren,Insolvenz,
2025-08-16,K0039,Kunde verloren,Preis / Wettbewerb,
2025-08-28,K0153,Neukunde Start,Empfehlung,
2025-09-11,K0125,Neukunde Start,Kaltakquise,
2025-09-12,K0600,Kunde verloren,Standortverlagerung,
2025-09-17,K0410,Kunde verloren,Preis / Wettbewerb,
2025-09-21,K0595,Neukunde Start,Kaltakquise,
2025-09-21,K0353,Kunde verloren,Standortverlagerung,
2025-09-22,K0421,Neukunde Start,Kaltakquise,
2025-09-27,K0242,Neukunde Start,Anfrage Platform,
2025-09-28,K0276,Neukunde Start,Kaltakquise,
2025-10-01,K0016,Neukunde Start,Ausschreibung gewonnen,
2025-10-03,K0275,Neukunde Start,Anfrage Platform,
2025-10-11,K0760,Kunde verloren,Preis / Wettbewerb,
2025-10-14,K0375,Neukunde Start,Empfehlung,
2025-10-20,K0696,Kunde verloren,Preis / Wettbewerb,
2025-10-23,K0437,Neukunde Start,Kaltakquise,
2025-10-31,K0337,Neukunde Start,Kaltakquise,
2025-11-01,K0740,Neukunde Start,Kaltakquise,
2025-11-10,K0341,Neukunde Start,Anfrage Platform,
2025-11-11,K0181,Kunde verloren,Preis / Wettbewerb,
2025-11-12,K0331,Kunde verloren,Preis / Wettbewerb,
2025-11-15,K0439,Neukunde Start,Kaltakquise,
2025-11-18,K0318,Kunde verloren,Preis / Wettbewerb,
2025-11-18,K0784,Kunde verloren,Preis / Wettbewerb,
2025-12-09,K0681,Kunde verloren,Preis / Wettbewerb,
2025-12-12,K0389,Kunde verloren,Preis / Wettbewerb,
2025-12-14,K0154,Kunde verloren,Standortverlagerung,
2025-12-19,K0465,Kunde verloren,Preis / Wettbewerb,
2025-12-24,K0813,Kunde verloren,Standortverlagerung,
2025-12-25,K0798,Neukunde Start,Empfehlung,
2025-12-28,K0352,Kunde verloren,Preis / Wettbewerb,
2025-12-29,K0672,Neukunde Start,Anfrage Platform,
2026-01-01,ALLE,Preisrunde,+3.0 % Tariferhöhung Stückgut national,
2026-01-02,K0424,Neukunde Start,Kaltakquise,
2026-01-06,K0673,Neukunde Start,Kaltakquise,
2026-01-11,K0440,Kunde verloren,Preis / Wettbewerb,
2026-01-14,K0626,Neukunde Start,Empfehlung,
2026-01-21,K0674,Kunde verloren,Standortverlagerung,
2026-02-01,K0191,Kunde verloren,Insolvenz,
2026-02-03,K0804,Kunde verloren,Preis / Wettbewerb,
2026-02-08,K0540,Kunde verloren,Insolvenz,
2026-02-12,K0292,Kunde verloren,Preis / Wettbewerb,
2026-02-20,K0037,Neukunde Start,Empfehlung,
2026-03-02,K0215,Neukunde Start,Ausschreibung gewonnen,
2026-03-08,K0735,Kunde verloren,Preis / Wettbewerb,
2026-03-15,K0387,Neukunde Start,Empfehlung,
2026-03-17,K0092,Neukunde Start,Empfehlung,
2026-03-23,K0756,Neukunde Start,Anfrage Platform,
2026-03-27,K0571,Neukunde Start,Ausschreibung gewonnen,
2026-03-28,K0610,Kunde verloren,Preis / Wettbewerb,
2026-03-31,K0338,Kunde verloren,Standortverlagerung,
2026-04-15,K0397,Neukunde Start,Anfrage Platform,
2026-04-20,K0084,Kunde verloren,Preis / Wettbewerb,
2026-04-22,K0038,Neukunde Start,Ausschreibung gewonnen,
2026-04-24,K0075,Kunde verloren,Standortverlagerung,
2026-04-25,K0598,Neukunde Start,Kaltakquise,
2026-04-29,K0564,Neukunde Start,Empfehlung,
2026-05-15,K0820,Ausschreibung gewonnen,"Automotive-Zulieferer, Start 01.07.2026, Anlauf über 6 Monate",geplant ca. 50 Sendungen/Tag im Vollbetrieb
2026-05-23,K0217,Neukunde Start,Empfehlung,
2026-05-29,K0054,Kunde verloren,Volumen eingestellt,
2026-06-01,K0164,Kunde verloren,Standortverlagerung,
2026-06-16,K0068,Neukunde Start,Kaltakquise,
2026-06-17,K0025,Kunde verloren,Preis / Wettbewerb,
2026-06-20,K0070,Kunde verloren,Insolvenz,
2026-06-21,K0761,Neukunde Start,Empfehlung,
2026-06-26,K0687,Kunde verloren,Insolvenz,
2026-06-26,K0407,Kunde verloren,Preis / Wettbewerb,
2026-06-28,K0103,Kunde verloren,Volumen eingestellt,
2026-06-28,K0080,Neukunde Start,Anfrage Platform,
2026-06-29,K0448,Neukunde Start,Empfehlung,
2026-07-01,K0820,Neukunde Start,Empfehlung,
2026-07-02,K0650,Neukunde Start,Anfrage Platform,
2026-07-11,K0463,Neukunde Start,Kaltakquise,
2026-07-18,K0655,Neukunde Start,Kaltakquise,
2026-07-31,K0239,Neukunde Start,Kaltakquise,
