datum,wochentag,kw,werktag,feiertag_bw,brueckentag,schulferien_bw,werksferien_automotive,vor_feiertag,handelstermin
2024-05-19,So,20,0,,0,,0,0,
2024-05-20,Mo,21,0,Pfingstmontag,0,,0,0,
2024-05-21,Di,21,1,,0,Pfingstferien,0,0,
2024-05-22,Mi,21,1,,0,Pfingstferien,0,0,
2024-05-23,Do,21,1,,0,Pfingstferien,0,0,
2024-05-24,Fr,21,1,,0,Pfingstferien,0,0,
2024-05-25,Sa,21,0,,0,Pfingstferien,0,0,
2024-05-26,So,21,0,,0,Pfingstferien,0,0,
2024-05-27,Mo,22,1,,0,Pfingstferien,0,0,
2024-05-28,Di,22,1,,0,Pfingstferien,0,0,
2024-05-29,Mi,22,1,,0,Pfingstferien,0,1,
2024-05-30,Do,22,0,Fronleichnam,0,Pfingstferien,0,0,
2024-05-31,Fr,22,1,,1,Pfingstferien,0,0,
2024-06-01,Sa,22,0,,0,,0,0,
2024-06-02,So,22,0,,0,,0,0,
2024-06-03,Mo,23,1,,0,,0,0,
2024-06-04,Di,23,1,,0,,0,0,
2024-06-05,Mi,23,1,,0,,0,0,
2024-06-06,Do,23,1,,0,,0,0,
2024-06-07,Fr,23,1,,0,,0,0,
2024-06-08,Sa,23,0,,0,,0,0,
2024-06-09,So,23,0,,0,,0,0,
2024-06-10,Mo,24,1,,0,,0,0,
2024-06-11,Di,24,1,,0,,0,0,
2024-06-12,Mi,24,1,,0,,0,0,
2024-06-13,Do,24,1,,0,,0,0,
2024-06-14,Fr,24,1,,0,,0,0,
2024-06-15,Sa,24,0,,0,,0,0,
2024-06-16,So,24,0,,0,,0,0,
2024-06-17,Mo,25,1,,0,,0,0,
2024-06-18,Di,25,1,,0,,0,0,
2024-06-19,Mi,25,1,,0,,0,0,
2024-06-20,Do,25,1,,0,,0,0,
2024-06-21,Fr,25,1,,0,,0,0,
2024-06-22,Sa,25,0,,0,,0,0,
2024-06-23,So,25,0,,0,,0,0,
2024-06-24,Mo,26,1,,0,,0,0,
2024-06-25,Di,26,1,,0,,0,0,
2024-06-26,Mi,26,1,,0,,0,0,
2024-06-27,Do,26,1,,0,,0,0,
2024-06-28,Fr,26,1,,0,,0,0,
2024-06-29,Sa,26,0,,0,,0,0,
2024-06-30,So,26,0,,0,,0,0,
2024-07-01,Mo,27,1,,0,,0,0,
2024-07-02,Di,27,1,,0,,0,0,
2024-07-03,Mi,27,1,,0,,0,0,
2024-07-04,Do,27,1,,0,,0,0,
2024-07-05,Fr,27,1,,0,,0,0,
2024-07-06,Sa,27,0,,0,,0,0,
2024-07-07,So,27,0,,0,,0,0,
2024-07-08,Mo,28,1,,0,,0,0,
2024-07-09,Di,28,1,,0,,0,0,
2024-07-10,Mi,28,1,,0,,0,0,
2024-07-11,Do,28,1,,0,,0,0,
2024-07-12,Fr,28,1,,0,,0,0,
2024-07-13,Sa,28,0,,0,,0,0,
2024-07-14,So,28,0,,0,,0,0,
2024-07-15,Mo,29,1,,0,,0,0,
2024-07-16,Di,29,1,,0,,0,0,
2024-07-17,Mi,29,1,,0,,0,0,
2024-07-18,Do,29,1,,0,,0,0,
2024-07-19,Fr,29,1,,0,,0,0,
2024-07-20,Sa,29,0,,0,,0,0,
2024-07-21,So,29,0,,0,,0,0,
2024-07-22,Mo,30,1,,0,,0,0,
2024-07-23,Di,30,1,,0,,0,0,
2024-07-24,Mi,30,1,,0,,0,0,
2024-07-25,Do,30,1,,0,Sommerferien,0,0,
2024-07-26,Fr,30,1,,0,Sommerferien,0,0,
2024-07-27,Sa,30,0,,0,Sommerferien,0,0,
2024-07-28,So,30,0,,0,Sommerferien,0,0,
2024-07-29,Mo,31,1,,0,Sommerferien,1,0,
2024-07-30,Di,31,1,,0,Sommerferien,1,0,
2024-07-31,Mi,31,1,,0,Sommerferien,1,0,
2024-08-01,Do,31,1,,0,Sommerferien,1,0,
2024-08-02,Fr,31,1,,0,Sommerferien,1,0,
2024-08-03,Sa,31,0,,0,Sommerferien,1,0,
2024-08-04,So,31,0,,0,Sommerferien,1,0,
2024-08-05,Mo,32,1,,0,Sommerferien,1,0,
2024-08-06,Di,32,1,,0,Sommerferien,1,0,
2024-08-07,Mi,32,1,,0,Sommerferien,1,0,
2024-08-08,Do,32,1,,0,Sommerferien,1,0,
2024-08-09,Fr,32,1,,0,Sommerferien,1,0,
2024-08-10,Sa,32,0,,0,Sommerferien,1,0,
2024-08-11,So,32,0,,0,Sommerferien,1,0,
2024-08-12,Mo,33,1,,0,Sommerferien,1,0,
2024-08-13,Di,33,1,,0,Sommerferien,1,0,
2024-08-14,Mi,33,1,,0,Sommerferien,1,0,
2024-08-15,Do,33,1,,0,Sommerferien,1,0,
2024-08-16,Fr,33,1,,0,Sommerferien,1,0,
2024-08-17,Sa,33,0,,0,Sommerferien,0,0,
2024-08-18,So,33,0,,0,Sommerferien,0,0,
2024-08-19,Mo,34,1,,0,Sommerferien,0,0,
2024-08-20,Di,34,1,,0,Sommerferien,0,0,
2024-08-21,Mi,34,1,,0,Sommerferien,0,0,
2024-08-22,Do,34,1,,0,Sommerferien,0,0,
2024-08-23,Fr,34,1,,0,Sommerferien,0,0,
2024-08-24,Sa,34,0,,0,Sommerferien,0,0,
2024-08-25,So,34,0,,0,Sommerferien,0,0,
2024-08-26,Mo,35,1,,0,Sommerferien,0,0,
2024-08-27,Di,35,1,,0,Sommerferien,0,0,
2024-08-28,Mi,35,1,,0,Sommerferien,0,0,
2024-08-29,Do,35,1,,0,Sommerferien,0,0,
2024-08-30,Fr,35,1,,0,Sommerferien,0,0,
2024-08-31,Sa,35,0,,0,Sommerferien,0,0,
2024-09-01,So,35,0,,0,Sommerferien,0,0,
2024-09-02,Mo,36,1,,0,Sommerferien,0,0,
2024-09-03,Di,36,1,,0,Sommerferien,0,0,
2024-09-04,Mi,36,1,,0,Sommerferien,0,0,
2024-09-05,Do,36,1,,0,Sommerferien,0,0,
2024-09-06,Fr,36,1,,0,Sommerferien,0,0,
2024-09-07,Sa,36,0,,0,Sommerferien,0,0,
2024-09-08,So,36,0,,0,,0,0,
2024-09-09,Mo,37,1,,0,,0,0,
2024-09-10,Di,37,1,,0,,0,0,
2024-09-11,Mi,37,1,,0,,0,0,
2024-09-12,Do,37,1,,0,,0,0,
2024-09-13,Fr,37,1,,0,,0,0,
2024-09-14,Sa,37,0,,0,,0,0,
2024-09-15,So,37,0,,0,,0,0,
2024-09-16,Mo,38,1,,0,,0,0,
2024-09-17,Di,38,1,,0,,0,0,
2024-09-18,Mi,38,1,,0,,0,0,
2024-09-19,Do,38,1,,0,,0,0,
2024-09-20,Fr,38,1,,0,,0,0,
2024-09-21,Sa,38,0,,0,,0,0,
2024-09-22,So,38,0,,0,,0,0,
2024-09-23,Mo,39,1,,0,,0,0,
2024-09-24,Di,39,1,,0,,0,0,
2024-09-25,Mi,39,1,,0,,0,0,
2024-09-26,Do,39,1,,0,,0,0,
2024-09-27,Fr,39,1,,0,,0,0,
2024-09-28,Sa,39,0,,0,,0,0,
2024-09-29,So,39,0,,0,,0,0,
2024-09-30,Mo,40,1,,0,,0,0,
2024-10-01,Di,40,1,,0,,0,0,
2024-10-02,Mi,40,1,,0,,0,1,
2024-10-03,Do,40,0,Tag der Deutschen Einheit,0,,0,0,
2024-10-04,Fr,40,1,,1,,0,0,
2024-10-05,Sa,40,0,,0,,0,0,
2024-10-06,So,40,0,,0,,0,0,
2024-10-07,Mo,41,1,,0,,0,0,
2024-10-08,Di,41,1,,0,,0,0,
2024-10-09,Mi,41,1,,0,,0,0,
2024-10-10,Do,41,1,,0,,0,0,
2024-10-11,Fr,41,1,,0,,0,0,
2024-10-12,Sa,41,0,,0,,0,0,
2024-10-13,So,41,0,,0,,0,0,
2024-10-14,Mo,42,1,,0,,0,0,
2024-10-15,Di,42,1,,0,,0,0,
2024-10-16,Mi,42,1,,0,,0,0,
2024-10-17,Do,42,1,,0,,0,0,
2024-10-18,Fr,42,1,,0,,0,0,
2024-10-19,Sa,42,0,,0,,0,0,
2024-10-20,So,42,0,,0,,0,0,
2024-10-21,Mo,43,1,,0,,0,0,
2024-10-22,Di,43,1,,0,,0,0,
2024-10-23,Mi,43,1,,0,,0,0,
2024-10-24,Do,43,1,,0,,0,0,
2024-10-25,Fr,43,1,,0,,0,0,
2024-10-26,Sa,43,0,,0,,0,0,
2024-10-27,So,43,0,,0,,0,0,
2024-10-28,Mo,44,1,,0,Herbstferien,0,0,
2024-10-29,Di,44,1,,0,Herbstferien,0,0,
2024-10-30,Mi,44,1,,0,Herbstferien,0,0,
2024-10-31,Do,44,1,,0,,0,1,
2024-11-01,Fr,44,0,Allerheiligen,0,,0,0,
2024-11-02,Sa,44,0,,0,,0,0,
2024-11-03,So,44,0,,0,,0,0,
2024-11-04,Mo,45,1,,0,,0,0,
2024-11-05,Di,45,1,,0,,0,0,
2024-11-06,Mi,45,1,,0,,0,0,
2024-11-07,Do,45,1,,0,,0,0,
2024-11-08,Fr,45,1,,0,,0,0,
2024-11-09,Sa,45,0,,0,,0,0,
2024-11-10,So,45,0,,0,,0,0,
2024-11-11,Mo,46,1,,0,,0,0,
2024-11-12,Di,46,1,,0,,0,0,
2024-11-13,Mi,46,1,,0,,0,0,
2024-11-14,Do,46,1,,0,,0,0,
2024-11-15,Fr,46,1,,0,,0,0,
2024-11-16,Sa,46,0,,0,,0,0,
2024-11-17,So,46,0,,0,,0,0,
2024-11-18,Mo,47,1,,0,,0,0,
2024-11-19,Di,47,1,,0,,0,0,
2024-11-20,Mi,47,1,,0,,0,0,
2024-11-21,Do,47,1,,0,,0,0,
2024-11-22,Fr,47,1,,0,,0,0,
2024-11-23,Sa,47,0,,0,,0,0,
2024-11-24,So,47,0,,0,,0,0,
2024-11-25,Mo,48,1,,0,,0,0,
2024-11-26,Di,48,1,,0,,0,0,
2024-11-27,Mi,48,1,,0,,0,0,
2024-11-28,Do,48,1,,0,,0,0,
2024-11-29,Fr,48,1,,0,,0,0,Black Friday
2024-11-30,Sa,48,0,,0,,0,0,
2024-12-01,So,48,0,,0,,0,0,
2024-12-02,Mo,49,1,,0,,0,0,Cyber Monday
2024-12-03,Di,49,1,,0,,0,0,
2024-12-04,Mi,49,1,,0,,0,0,
2024-12-05,Do,49,1,,0,,0,0,
2024-12-06,Fr,49,1,,0,,0,0,
2024-12-07,Sa,49,0,,0,,0,0,
2024-12-08,So,49,0,,0,,0,0,
2024-12-09,Mo,50,1,,0,,0,0,
2024-12-10,Di,50,1,,0,,0,0,
2024-12-11,Mi,50,1,,0,,0,0,
2024-12-12,Do,50,1,,0,,0,0,
2024-12-13,Fr,50,1,,0,,0,0,
2024-12-14,Sa,50,0,,0,,0,0,
2024-12-15,So,50,0,,0,,0,0,
2024-12-16,Mo,51,1,,0,,0,0,
2024-12-17,Di,51,1,,0,,0,0,
2024-12-18,Mi,51,1,,0,,0,0,
2024-12-19,Do,51,1,,0,,0,0,
2024-12-20,Fr,51,1,,0,,0,0,
2024-12-21,Sa,51,0,,0,,0,0,
2024-12-22,So,51,0,,0,,0,0,
2024-12-23,Mo,52,1,,0,Weihnachtsferien,1,0,
2024-12-24,Di,52,1,,0,Weihnachtsferien,1,1,
2024-12-25,Mi,52,0,1. Weihnachtstag,0,Weihnachtsferien,1,0,
2024-12-26,Do,52,0,2. Weihnachtstag,0,Weihnachtsferien,1,0,
2024-12-27,Fr,52,1,,1,Weihnachtsferien,1,0,
2024-12-28,Sa,52,0,,0,Weihnachtsferien,1,0,
2024-12-29,So,52,0,,0,Weihnachtsferien,1,0,
2024-12-30,Mo,1,1,,0,Weihnachtsferien,1,0,
2024-12-31,Di,1,1,,0,Weihnachtsferien,1,1,
2025-01-01,Mi,1,0,Neujahr,0,Weihnachtsferien,1,0,
2025-01-02,Do,1,1,,0,Weihnachtsferien,1,0,
2025-01-03,Fr,1,1,,0,Weihnachtsferien,1,1,
2025-01-04,Sa,1,0,,0,Weihnachtsferien,1,0,
2025-01-05,So,1,0,,0,,1,0,
2025-01-06,Mo,2,0,Heilige Drei Könige,0,,1,0,
2025-01-07,Di,2,1,,0,,0,0,
2025-01-08,Mi,2,1,,0,,0,0,
2025-01-09,Do,2,1,,0,,0,0,
2025-01-10,Fr,2,1,,0,,0,0,
2025-01-11,Sa,2,0,,0,,0,0,
2025-01-12,So,2,0,,0,,0,0,
2025-01-13,Mo,3,1,,0,,0,0,
2025-01-14,Di,3,1,,0,,0,0,
2025-01-15,Mi,3,1,,0,,0,0,
2025-01-16,Do,3,1,,0,,0,0,
2025-01-17,Fr,3,1,,0,,0,0,
2025-01-18,Sa,3,0,,0,,0,0,
2025-01-19,So,3,0,,0,,0,0,
2025-01-20,Mo,4,1,,0,,0,0,
2025-01-21,Di,4,1,,0,,0,0,
2025-01-22,Mi,4,1,,0,,0,0,
2025-01-23,Do,4,1,,0,,0,0,
2025-01-24,Fr,4,1,,0,,0,0,
2025-01-25,Sa,4,0,,0,,0,0,
2025-01-26,So,4,0,,0,,0,0,
2025-01-27,Mo,5,1,,0,,0,0,
2025-01-28,Di,5,1,,0,,0,0,
2025-01-29,Mi,5,1,,0,,0,0,
2025-01-30,Do,5,1,,0,,0,0,
2025-01-31,Fr,5,1,,0,,0,0,
2025-02-01,Sa,5,0,,0,,0,0,
2025-02-02,So,5,0,,0,,0,0,
2025-02-03,Mo,6,1,,0,,0,0,
2025-02-04,Di,6,1,,0,,0,0,
2025-02-05,Mi,6,1,,0,,0,0,
2025-02-06,Do,6,1,,0,,0,0,
2025-02-07,Fr,6,1,,0,,0,0,
2025-02-08,Sa,6,0,,0,,0,0,
2025-02-09,So,6,0,,0,,0,0,
2025-02-10,Mo,7,1,,0,,0,0,
2025-02-11,Di,7,1,,0,,0,0,
2025-02-12,Mi,7,1,,0,,0,0,
2025-02-13,Do,7,1,,0,,0,0,
2025-02-14,Fr,7,1,,0,,0,0,
2025-02-15,Sa,7,0,,0,,0,0,
2025-02-16,So,7,0,,0,,0,0,
2025-02-17,Mo,8,1,,0,,0,0,
2025-02-18,Di,8,1,,0,,0,0,
2025-02-19,Mi,8,1,,0,,0,0,
2025-02-20,Do,8,1,,0,,0,0,
2025-02-21,Fr,8,1,,0,,0,0,
2025-02-22,Sa,8,0,,0,,0,0,
2025-02-23,So,8,0,,0,,0,0,
2025-02-24,Mo,9,1,,0,,0,0,
2025-02-25,Di,9,1,,0,,0,0,
2025-02-26,Mi,9,1,,0,,0,0,
2025-02-27,Do,9,1,,0,,0,0,
2025-02-28,Fr,9,1,,0,,0,0,
2025-03-01,Sa,9,0,,0,,0,0,
2025-03-02,So,9,0,,0,,0,0,
2025-03-03,Mo,10,1,,0,,0,0,
2025-03-04,Di,10,1,,0,,0,0,
2025-03-05,Mi,10,1,,0,,0,0,
2025-03-06,Do,10,1,,0,,0,0,
2025-03-07,Fr,10,1,,0,,0,0,
2025-03-08,Sa,10,0,,0,,0,0,
2025-03-09,So,10,0,,0,,0,0,
2025-03-10,Mo,11,1,,0,,0,0,
2025-03-11,Di,11,1,,0,,0,0,
2025-03-12,Mi,11,1,,0,,0,0,
2025-03-13,Do,11,1,,0,,0,0,
2025-03-14,Fr,11,1,,0,,0,0,
2025-03-15,Sa,11,0,,0,,0,0,
2025-03-16,So,11,0,,0,,0,0,
2025-03-17,Mo,12,1,,0,,0,0,
2025-03-18,Di,12,1,,0,,0,0,
2025-03-19,Mi,12,1,,0,,0,0,
2025-03-20,Do,12,1,,0,,0,0,
2025-03-21,Fr,12,1,,0,,0,0,
2025-03-22,Sa,12,0,,0,,0,0,
2025-03-23,So,12,0,,0,,0,0,
2025-03-24,Mo,13,1,,0,,0,0,
2025-03-25,Di,13,1,,0,,0,0,
2025-03-26,Mi,13,1,,0,,0,0,
2025-03-27,Do,13,1,,0,,0,0,
2025-03-28,Fr,13,1,,0,,0,0,
2025-03-29,Sa,13,0,,0,,0,0,
2025-03-30,So,13,0,,0,,0,0,
2025-03-31,Mo,14,1,,0,,0,0,
2025-04-01,Di,14,1,,0,,0,0,
2025-04-02,Mi,14,1,,0,,0,0,
2025-04-03,Do,14,1,,0,,0,0,
2025-04-04,Fr,14,1,,0,,0,0,
2025-04-05,Sa,14,0,,0,,0,0,
2025-04-06,So,14,0,,0,,0,0,
2025-04-07,Mo,15,1,,0,,0,0,
2025-04-08,Di,15,1,,0,,0,0,
2025-04-09,Mi,15,1,,0,,0,0,
2025-04-10,Do,15,1,,0,,0,0,
2025-04-11,Fr,15,1,,0,,0,0,
2025-04-12,Sa,15,0,,0,,0,0,
2025-04-13,So,15,0,,0,,0,0,
2025-04-14,Mo,16,1,,0,Osterferien,0,0,
2025-04-15,Di,16,1,,0,Osterferien,0,0,
2025-04-16,Mi,16,1,,0,Osterferien,0,0,
2025-04-17,Do,16,1,,0,Osterferien,0,1,
2025-04-18,Fr,16,0,Karfreitag,0,Osterferien,0,0,
2025-04-19,Sa,16,0,,0,Osterferien,0,0,
2025-04-20,So,16,0,,0,Osterferien,0,0,
2025-04-21,Mo,17,0,Ostermontag,0,Osterferien,0,0,
2025-04-22,Di,17,1,,0,Osterferien,0,0,
2025-04-23,Mi,17,1,,0,Osterferien,0,0,
2025-04-24,Do,17,1,,0,Osterferien,0,0,
2025-04-25,Fr,17,1,,0,Osterferien,0,0,
2025-04-26,Sa,17,0,,0,Osterferien,0,0,
2025-04-27,So,17,0,,0,,0,0,
2025-04-28,Mo,18,1,,0,,0,0,
2025-04-29,Di,18,1,,0,,0,0,
2025-04-30,Mi,18,1,,0,,0,1,
2025-05-01,Do,18,0,Tag der Arbeit,0,,0,0,
2025-05-02,Fr,18,1,,1,,0,0,
2025-05-03,Sa,18,0,,0,,0,0,
2025-05-04,So,18,0,,0,,0,0,
2025-05-05,Mo,19,1,,0,,0,0,
2025-05-06,Di,19,1,,0,,0,0,
2025-05-07,Mi,19,1,,0,,0,0,
2025-05-08,Do,19,1,,0,,0,0,
2025-05-09,Fr,19,1,,0,,0,0,
2025-05-10,Sa,19,0,,0,,0,0,
2025-05-11,So,19,0,,0,,0,0,
2025-05-12,Mo,20,1,,0,,0,0,
2025-05-13,Di,20,1,,0,,0,0,
2025-05-14,Mi,20,1,,0,,0,0,
2025-05-15,Do,20,1,,0,,0,0,
2025-05-16,Fr,20,1,,0,,0,0,
2025-05-17,Sa,20,0,,0,,0,0,
2025-05-18,So,20,0,,0,,0,0,
2025-05-19,Mo,21,1,,0,,0,0,
2025-05-20,Di,21,1,,0,,0,0,
2025-05-21,Mi,21,1,,0,,0,0,
2025-05-22,Do,21,1,,0,,0,0,
2025-05-23,Fr,21,1,,0,,0,0,
2025-05-24,Sa,21,0,,0,,0,0,
2025-05-25,So,21,0,,0,,0,0,
2025-05-26,Mo,22,1,,0,,0,0,
2025-05-27,Di,22,1,,0,,0,0,
2025-05-28,Mi,22,1,,0,,0,1,
2025-05-29,Do,22,0,Christi Himmelfahrt,0,,0,0,
2025-05-30,Fr,22,1,,1,,0,0,
2025-05-31,Sa,22,0,,0,,0,0,
2025-06-01,So,22,0,,0,,0,0,
2025-06-02,Mo,23,1,,0,,0,0,
2025-06-03,Di,23,1,,0,,0,0,
2025-06-04,Mi,23,1,,0,,0,0,
2025-06-05,Do,23,1,,0,,0,0,
2025-06-06,Fr,23,1,,0,,0,1,
2025-06-07,Sa,23,0,,0,,0,0,
2025-06-08,So,23,0,,0,,0,0,
2025-06-09,Mo,24,0,Pfingstmontag,0,,0,0,
2025-06-10,Di,24,1,,0,Pfingstferien,0,0,
2025-06-11,Mi,24,1,,0,Pfingstferien,0,0,
2025-06-12,Do,24,1,,0,Pfingstferien,0,0,
2025-06-13,Fr,24,1,,0,Pfingstferien,0,0,
2025-06-14,Sa,24,0,,0,Pfingstferien,0,0,
2025-06-15,So,24,0,,0,Pfingstferien,0,0,
2025-06-16,Mo,25,1,,0,Pfingstferien,0,0,
2025-06-17,Di,25,1,,0,Pfingstferien,0,0,
2025-06-18,Mi,25,1,,0,Pfingstferien,0,1,
2025-06-19,Do,25,0,Fronleichnam,0,Pfingstferien,0,0,
2025-06-20,Fr,25,1,,1,Pfingstferien,0,0,
2025-06-21,Sa,25,0,,0,,0,0,
2025-06-22,So,25,0,,0,,0,0,
2025-06-23,Mo,26,1,,0,,0,0,
2025-06-24,Di,26,1,,0,,0,0,
2025-06-25,Mi,26,1,,0,,0,0,
2025-06-26,Do,26,1,,0,,0,0,
2025-06-27,Fr,26,1,,0,,0,0,
2025-06-28,Sa,26,0,,0,,0,0,
2025-06-29,So,26,0,,0,,0,0,
2025-06-30,Mo,27,1,,0,,0,0,
2025-07-01,Di,27,1,,0,,0,0,
2025-07-02,Mi,27,1,,0,,0,0,
2025-07-03,Do,27,1,,0,,0,0,
2025-07-04,Fr,27,1,,0,,0,0,
2025-07-05,Sa,27,0,,0,,0,0,
2025-07-06,So,27,0,,0,,0,0,
