kunde_id,segment,branche,groessenklasse,plz2,vertragsbeginn,vertragsende,verlustgrund,top30
K0061,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2016-08-27,,,0
K0062,Klein,C28 Maschinenbau,C (10-49 MA),74,2022-02-16,,,0
K0063,Klein,Sonstige,C (10-49 MA),74,2021-10-05,,,0
K0064,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2018-05-30,,,0
K0065,Klein,C25 Metallverarbeitung,D (<10 MA),74,2016-10-19,,,0
K0066,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2024-05-28,,,0
K0067,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2019-02-15,,,0
K0068,Klein,C27 Elektro / Elektronik,C (10-49 MA),75,2026-06-16,,,0
K0069,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2023-01-07,2024-07-22,Preis / Wettbewerb,0
K0070,Klein,C28 Maschinenbau,D (<10 MA),74,2019-06-07,2026-06-20,Insolvenz,0
K0071,Klein,Sonstige,C (10-49 MA),74,2016-07-31,,,0
K0072,Klein,C29 Automotive-Zulieferer,C (10-49 MA),71,2024-09-30,,,0
K0073,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2017-02-19,,,0
K0074,Klein,C28 Maschinenbau,C (10-49 MA),74,2017-06-01,2025-08-07,Volumen eingestellt,0
K0075,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2020-09-09,2026-04-24,Standortverlagerung,0
K0076,Klein,C28 Maschinenbau,C (10-49 MA),74,2024-11-06,,,0
K0077,Klein,C28 Maschinenbau,C (10-49 MA),97,2023-02-20,,,0
K0078,Klein,C28 Maschinenbau,C (10-49 MA),73,2015-06-26,,,0
K0079,Klein,C27 Elektro / Elektronik,C (10-49 MA),69,2023-12-31,,,0
K0080,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2026-06-28,,,0
K0081,Klein,Sonstige,C (10-49 MA),75,2017-12-30,,,0
K0082,Klein,F/G23 Baustoffhandel,D (<10 MA),69,2021-08-08,,,0
K0083,Klein,Sonstige,D (<10 MA),71,2020-04-12,,,0
K0084,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),73,2018-12-05,2026-04-20,Preis / Wettbewerb,0
K0085,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2020-02-21,,,0
K0086,Klein,C25 Metallverarbeitung,C (10-49 MA),75,2018-07-06,,,0
K0087,Klein,C31 Möbel / Einrichtung,D (<10 MA),74,2018-06-24,,,0
K0088,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2018-07-24,,,0
K0089,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2019-10-01,,,0
K0090,Klein,F/G23 Baustoffhandel,C (10-49 MA),97,2023-09-28,,,0
K0091,Klein,C25 Metallverarbeitung,C (10-49 MA),71,2019-06-26,,,0
K0092,Klein,C27 Elektro / Elektronik,D (<10 MA),73,2026-03-17,,,0
K0093,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2022-11-18,2025-03-28,Preis / Wettbewerb,0
K0094,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2021-10-10,,,0
K0095,Klein,F/G23 Baustoffhandel,D (<10 MA),97,2016-09-14,,,0
K0096,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2017-05-16,,,0
K0097,Klein,C20 Chemie / Farben,D (<10 MA),71,2022-05-13,,,0
K0098,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2021-08-29,,,0
K0099,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2018-09-24,,,0
K0100,Klein,Sonstige,D (<10 MA),74,2022-08-15,,,0
K0101,Klein,F/G23 Baustoffhandel,C (10-49 MA),71,2021-02-09,,,0
K0102,Klein,F/G23 Baustoffhandel,C (10-49 MA),97,2019-01-06,,,0
K0103,Klein,C28 Maschinenbau,C (10-49 MA),74,2019-04-08,2026-06-28,Volumen eingestellt,0
K0104,Klein,F/G23 Baustoffhandel,D (<10 MA),97,2021-03-13,2025-03-14,Standortverlagerung,0
K0105,Klein,C29 Automotive-Zulieferer,C (10-49 MA),75,2021-09-13,,,0
K0106,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2021-06-27,,,0
K0107,Klein,C28 Maschinenbau,D (<10 MA),74,2022-04-21,,,0
K0108,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2019-07-26,,,0
K0109,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2015-05-22,,,0
K0110,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),73,2024-03-18,,,0
K0111,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2016-09-20,,,0
K0112,Klein,C28 Maschinenbau,D (<10 MA),97,2020-11-11,,,0
K0113,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2016-10-06,,,0
K0114,Klein,G46 Großhandel Konsumgüter,D (<10 MA),73,2019-03-26,,,0
K0115,Klein,G46 Großhandel Konsumgüter,D (<10 MA),71,2020-06-12,,,0
K0116,Klein,C28 Maschinenbau,D (<10 MA),74,2021-06-04,,,0
K0117,Klein,C27 Elektro / Elektronik,D (<10 MA),71,2025-02-23,,,0
K0118,Klein,C25 Metallverarbeitung,C (10-49 MA),69,2016-10-14,,,0
K0119,Klein,F/G23 Baustoffhandel,C (10-49 MA),75,2020-02-23,,,0
K0120,Klein,F/G23 Baustoffhandel,C (10-49 MA),71,2020-05-06,,,0
K0121,Klein,C20 Chemie / Farben,D (<10 MA),75,2022-07-20,,,0
K0122,Klein,C27 Elektro / Elektronik,D (<10 MA),73,2018-04-21,,,0
K0123,Klein,C28 Maschinenbau,D (<10 MA),74,2022-06-04,2024-12-16,Preis / Wettbewerb,0
K0124,Klein,C25 Metallverarbeitung,D (<10 MA),71,2015-02-20,,,0
K0125,Klein,Sonstige,D (<10 MA),75,2025-09-11,,,0
K0126,Klein,C27 Elektro / Elektronik,D (<10 MA),71,2020-11-15,,,0
K0127,Klein,C27 Elektro / Elektronik,D (<10 MA),74,2021-01-02,,,0
K0128,Klein,C29 Automotive-Zulieferer,C (10-49 MA),73,2016-06-18,,,0
K0129,Klein,Sonstige,C (10-49 MA),75,2021-01-24,,,0
K0130,Klein,C29 Automotive-Zulieferer,C (10-49 MA),97,2022-04-30,,,0
K0131,Klein,F/G23 Baustoffhandel,C (10-49 MA),71,2015-10-03,,,0
K0132,Klein,G46 Großhandel Konsumgüter,D (<10 MA),75,2015-10-30,,,0
K0133,Klein,C20 Chemie / Farben,C (10-49 MA),71,2021-04-24,2024-10-12,Preis / Wettbewerb,0
K0134,Klein,C25 Metallverarbeitung,D (<10 MA),75,2018-10-09,,,0
K0135,Klein,Sonstige,C (10-49 MA),75,2023-12-01,,,0
K0136,Klein,C27 Elektro / Elektronik,D (<10 MA),71,2023-05-16,,,0
K0137,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2016-06-12,,,0
K0138,Klein,C31 Möbel / Einrichtung,C (10-49 MA),75,2021-10-15,,,0
K0139,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2016-07-17,,,0
K0140,Klein,C25 Metallverarbeitung,D (<10 MA),69,2020-08-31,,,0
K0141,Klein,C28 Maschinenbau,C (10-49 MA),74,2017-08-20,,,0
K0142,Klein,C31 Möbel / Einrichtung,C (10-49 MA),74,2019-07-25,,,0
K0143,Klein,F/G23 Baustoffhandel,D (<10 MA),97,2018-02-28,,,0
K0144,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2016-04-23,,,0
K0145,Klein,C28 Maschinenbau,C (10-49 MA),71,2016-01-14,,,0
K0146,Klein,C27 Elektro / Elektronik,C (10-49 MA),71,2018-04-03,,,0
K0147,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2020-07-19,,,0
K0148,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2025-07-17,,,0
K0149,Klein,C28 Maschinenbau,D (<10 MA),75,2018-05-21,,,0
K0150,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2020-07-01,,,0
K0151,Klein,Sonstige,C (10-49 MA),74,2025-05-20,,,0
K0152,Klein,C29 Automotive-Zulieferer,C (10-49 MA),73,2018-09-11,,,0
K0153,Klein,C28 Maschinenbau,C (10-49 MA),74,2025-08-28,,,0
K0154,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2018-04-25,2025-12-14,Standortverlagerung,0
K0155,Klein,C27 Elektro / Elektronik,C (10-49 MA),75,2017-08-10,,,0
K0156,Klein,C31 Möbel / Einrichtung,D (<10 MA),71,2015-11-30,,,0
K0157,Klein,C20 Chemie / Farben,C (10-49 MA),74,2021-05-27,,,0
K0158,Klein,Sonstige,C (10-49 MA),75,2023-10-18,,,0
K0159,Klein,F/G23 Baustoffhandel,C (10-49 MA),97,2016-09-15,,,0
K0160,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),75,2017-05-26,,,0
K0161,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2019-01-08,,,0
K0162,Klein,Sonstige,C (10-49 MA),97,2017-03-23,,,0
K0163,Klein,C20 Chemie / Farben,C (10-49 MA),75,2021-01-16,,,0
K0164,Klein,C28 Maschinenbau,D (<10 MA),74,2020-06-13,2026-06-01,Standortverlagerung,0
K0165,Klein,C29 Automotive-Zulieferer,C (10-49 MA),71,2022-03-23,,,0
K0166,Klein,G46 Großhandel Konsumgüter,D (<10 MA),73,2017-06-17,2025-08-15,Insolvenz,0
K0167,Klein,C27 Elektro / Elektronik,C (10-49 MA),73,2018-06-15,,,0
K0168,Klein,G46 Großhandel Konsumgüter,D (<10 MA),69,2015-10-31,,,0
K0169,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),73,2021-12-17,,,0
K0170,Klein,C28 Maschinenbau,C (10-49 MA),97,2019-10-22,,,0
K0171,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2025-06-08,,,0
K0172,Klein,C29 Automotive-Zulieferer,C (10-49 MA),71,2017-01-26,,,0
K0173,Klein,C28 Maschinenbau,C (10-49 MA),74,2018-08-04,,,0
K0174,Klein,C28 Maschinenbau,C (10-49 MA),74,2018-07-27,,,0
K0175,Klein,C28 Maschinenbau,C (10-49 MA),75,2019-04-11,,,0
K0176,Klein,F/G23 Baustoffhandel,D (<10 MA),71,2019-12-25,,,0
K0177,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2021-07-01,,,0
K0178,Klein,C20 Chemie / Farben,C (10-49 MA),97,2018-07-21,,,0
K0179,Klein,Sonstige,D (<10 MA),97,2021-03-14,,,0
K0180,Klein,Sonstige,C (10-49 MA),71,2023-06-16,,,0
K0181,Klein,C28 Maschinenbau,C (10-49 MA),74,2019-07-06,2025-11-11,Preis / Wettbewerb,0
K0182,Klein,G46 Großhandel Konsumgüter,D (<10 MA),71,2022-09-27,,,0
K0183,Klein,C28 Maschinenbau,C (10-49 MA),97,2025-06-02,,,0
K0184,Klein,C28 Maschinenbau,D (<10 MA),71,2019-08-26,,,0
K0185,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2020-10-02,,,0
K0186,Klein,G46 Großhandel Konsumgüter,D (<10 MA),71,2016-09-21,,,0
K0187,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2020-08-03,,,0
K0188,Klein,F/G23 Baustoffhandel,C (10-49 MA),71,2025-06-08,,,0
K0189,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2019-02-23,,,0
K0190,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2023-10-30,,,0
K0191,Klein,Sonstige,D (<10 MA),74,2023-08-30,2026-02-01,Insolvenz,0
K0192,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),71,2017-08-28,,,0
K0193,Klein,C20 Chemie / Farben,D (<10 MA),75,2016-06-29,,,0
K0194,Klein,C27 Elektro / Elektronik,D (<10 MA),71,2019-10-24,,,0
K0195,Klein,C31 Möbel / Einrichtung,C (10-49 MA),74,2016-09-01,,,0
K0196,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),69,2025-03-22,,,0
K0197,Klein,C28 Maschinenbau,D (<10 MA),71,2020-06-29,,,0
K0198,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2022-08-09,,,0
K0199,Klein,Sonstige,C (10-49 MA),71,2016-08-07,,,0
K0200,Klein,C28 Maschinenbau,D (<10 MA),71,2019-06-03,,,0
K0201,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2021-01-11,,,0
K0202,Klein,C31 Möbel / Einrichtung,D (<10 MA),74,2019-02-08,,,0
K0203,Klein,C20 Chemie / Farben,C (10-49 MA),71,2021-12-07,,,0
K0204,Klein,Sonstige,C (10-49 MA),73,2021-07-09,,,0
K0205,Klein,C20 Chemie / Farben,C (10-49 MA),73,2022-02-02,,,0
K0206,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),73,2018-11-09,,,0
K0207,Klein,C28 Maschinenbau,C (10-49 MA),97,2019-02-26,,,0
K0208,Klein,F/G23 Baustoffhandel,D (<10 MA),97,2017-11-07,,,0
K0209,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2022-10-27,,,0
K0210,Klein,C28 Maschinenbau,C (10-49 MA),71,2015-01-21,2025-03-07,Preis / Wettbewerb,0
K0211,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2020-03-07,,,0
K0212,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),71,2024-06-13,,,0
K0213,Klein,C20 Chemie / Farben,D (<10 MA),97,2015-05-09,,,0
K0214,Klein,C20 Chemie / Farben,D (<10 MA),75,2016-10-16,,,0
K0215,Klein,C29 Automotive-Zulieferer,D (<10 MA),71,2026-03-02,,,0
K0216,Klein,C20 Chemie / Farben,D (<10 MA),71,2024-05-09,,,0
K0217,Klein,C31 Möbel / Einrichtung,C (10-49 MA),73,2026-05-23,,,0
K0218,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2025-08-14,,,0
K0219,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2022-02-12,,,0
K0220,Klein,F/G23 Baustoffhandel,D (<10 MA),71,2020-01-12,,,0
K0221,Klein,C28 Maschinenbau,D (<10 MA),74,2017-11-20,,,0
K0222,Klein,C25 Metallverarbeitung,C (10-49 MA),73,2021-08-02,,,0
K0223,Klein,F/G23 Baustoffhandel,D (<10 MA),73,2017-11-25,2025-04-23,Volumen eingestellt,0
K0224,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2024-03-04,,,0
K0225,Klein,C20 Chemie / Farben,D (<10 MA),73,2023-01-13,,,0
K0226,Klein,C20 Chemie / Farben,C (10-49 MA),74,2018-04-12,,,0
K0227,Klein,F/G23 Baustoffhandel,D (<10 MA),73,2018-06-08,,,0
K0228,Klein,C20 Chemie / Farben,C (10-49 MA),71,2018-03-31,,,0
K0229,Klein,C29 Automotive-Zulieferer,D (<10 MA),75,2019-05-16,,,0
K0230,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2023-09-21,,,0
K0231,Klein,Sonstige,C (10-49 MA),69,2023-07-23,,,0
K0232,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),73,2022-10-31,,,0
K0233,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),73,2025-07-19,,,0
K0234,Klein,G46 Großhandel Konsumgüter,D (<10 MA),75,2022-01-21,,,0
K0235,Klein,C28 Maschinenbau,D (<10 MA),75,2019-10-05,,,0
K0236,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2017-06-14,,,0
K0237,Klein,Sonstige,D (<10 MA),74,2016-09-30,,,0
K0238,Klein,C31 Möbel / Einrichtung,C (10-49 MA),71,2022-04-07,,,0
K0239,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2026-07-31,,,0
K0240,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2020-12-19,,,0
K0241,Klein,C20 Chemie / Farben,C (10-49 MA),74,2016-12-17,,,0
K0242,Klein,G46 Großhandel Konsumgüter,D (<10 MA),71,2025-09-27,,,0
K0243,Klein,C28 Maschinenbau,D (<10 MA),74,2020-11-27,2024-12-29,Preis / Wettbewerb,0
K0244,Klein,Sonstige,D (<10 MA),75,2024-07-02,,,0
K0245,Klein,F/G23 Baustoffhandel,C (10-49 MA),71,2015-03-05,,,0
K0246,Klein,C25 Metallverarbeitung,C (10-49 MA),97,2017-09-18,,,0
K0247,Klein,C20 Chemie / Farben,D (<10 MA),74,2016-11-28,,,0
K0248,Klein,C20 Chemie / Farben,C (10-49 MA),71,2020-05-25,,,0
K0249,Klein,C28 Maschinenbau,C (10-49 MA),97,2015-09-04,,,0
K0250,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),97,2018-04-14,,,0
K0251,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2019-06-02,,,0
K0252,Klein,C27 Elektro / Elektronik,C (10-49 MA),97,2016-01-24,,,0
K0253,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),97,2015-09-19,,,0
K0254,Klein,C31 Möbel / Einrichtung,D (<10 MA),74,2016-09-21,,,0
K0255,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2022-09-24,,,0
K0256,Klein,G46 Großhandel Konsumgüter,D (<10 MA),71,2021-09-21,,,0
K0257,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),97,2022-11-30,,,0
K0258,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2019-02-28,,,0
K0259,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),97,2020-06-16,,,0
K0260,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2023-06-09,,,0
K0261,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2018-04-13,,,0
K0262,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),75,2016-01-17,,,0
K0263,Klein,F/G23 Baustoffhandel,D (<10 MA),97,2017-07-06,,,0
K0264,Klein,Sonstige,C (10-49 MA),74,2019-09-10,,,0
K0265,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2022-07-18,,,0
K0266,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),97,2021-10-26,,,0
K0267,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),75,2022-06-14,,,0
K0268,Klein,G46 Großhandel Konsumgüter,D (<10 MA),73,2020-09-28,,,0
K0269,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),97,2017-07-16,,,0
K0270,Klein,C20 Chemie / Farben,C (10-49 MA),74,2016-06-06,,,0
K0271,Klein,C28 Maschinenbau,D (<10 MA),97,2021-11-07,,,0
K0272,Klein,C28 Maschinenbau,C (10-49 MA),74,2015-07-19,,,0
K0273,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2015-05-05,,,0
K0274,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),97,2020-10-12,,,0
K0275,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2025-10-03,,,0
K0276,Klein,C28 Maschinenbau,D (<10 MA),73,2025-09-28,,,0
K0277,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2023-12-06,,,0
K0278,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),69,2021-10-21,,,0
K0279,Klein,G46 Großhandel Konsumgüter,D (<10 MA),97,2018-12-12,,,0
K0280,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2023-02-21,,,0
K0281,Klein,C20 Chemie / Farben,C (10-49 MA),71,2022-06-01,,,0
K0282,Klein,Sonstige,D (<10 MA),71,2018-03-01,,,0
K0283,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2016-07-05,,,0
K0284,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2020-11-05,,,0
K0285,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),71,2016-06-20,,,0
K0286,Klein,C25 Metallverarbeitung,D (<10 MA),97,2024-08-19,,,0
K0287,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2015-11-04,,,0
K0288,Klein,C25 Metallverarbeitung,C (10-49 MA),73,2021-03-15,,,0
K0289,Klein,C29 Automotive-Zulieferer,D (<10 MA),71,2017-08-24,,,0
K0290,Klein,F/G23 Baustoffhandel,C (10-49 MA),73,2023-10-02,,,0
K0291,Klein,F/G23 Baustoffhandel,C (10-49 MA),75,2021-12-13,,,0
K0292,Klein,C28 Maschinenbau,D (<10 MA),74,2018-03-30,2026-02-12,Preis / Wettbewerb,0
K0293,Klein,G46 Großhandel Konsumgüter,D (<10 MA),97,2021-01-23,,,0
K0294,Klein,C29 Automotive-Zulieferer,C (10-49 MA),73,2022-02-26,,,0
K0295,Klein,C28 Maschinenbau,D (<10 MA),73,2023-02-08,,,0
K0296,Klein,C25 Metallverarbeitung,D (<10 MA),73,2020-11-16,,,0
K0297,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2021-03-09,,,0
K0298,Klein,F/G23 Baustoffhandel,C (10-49 MA),75,2016-05-20,,,0
K0299,Klein,C28 Maschinenbau,C (10-49 MA),74,2023-11-01,,,0
K0300,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2016-03-30,,,0
K0301,Klein,F/G23 Baustoffhandel,C (10-49 MA),75,2020-01-19,2024-08-07,Volumen eingestellt,0
K0302,Klein,G46 Großhandel Konsumgüter,D (<10 MA),75,2023-09-29,,,0
K0303,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2022-11-04,,,0
K0304,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2023-08-30,,,0
K0305,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2020-10-09,2025-01-25,Preis / Wettbewerb,0
K0306,Klein,C31 Möbel / Einrichtung,C (10-49 MA),97,2023-07-05,,,0
K0307,Klein,C29 Automotive-Zulieferer,D (<10 MA),73,2017-07-14,,,0
K0308,Klein,C20 Chemie / Farben,D (<10 MA),69,2016-11-25,,,0
K0309,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2017-01-20,,,0
K0310,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2019-03-07,,,0
K0311,Klein,C31 Möbel / Einrichtung,C (10-49 MA),74,2023-05-17,,,0
K0312,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2019-06-14,,,0
