datum,relation,trailer_geplant,trailer_benoetigt,trailer_linie_gefahren,sonderfahrten,trailer_ueberzaehlig,lademeter_aufkommen,lademeter_verschoben_auf_folgetag,auslastung_pct
2024-04-24,R01,3,4,3,0,0,41.8,4.3,100.0
2024-04-25,R01,4,6,4,0,0,58.4,12.6,100.0
2024-04-26,R01,3,5,3,1,0,37.9,0.5,92.9
2024-04-29,R01,5,4,5,0,1,43.9,0.0,64.6
2024-04-30,R01,5,7,5,2,0,85.3,0.0,89.6
2024-05-02,R01,6,5,6,0,1,61.0,0.0,74.8
2024-05-03,R01,4,2,4,0,2,23.2,0.0,42.6
2024-05-06,R01,4,5,4,0,0,51.4,1.4,94.5
2024-05-07,R01,7,5,7,0,2,59.5,0.0,63.9
2024-05-08,R01,4,3,4,0,1,36.6,0.0,67.3
2024-05-10,R01,3,3,3,0,0,26.1,0.0,64.0
2024-05-13,R01,5,5,5,0,0,56.4,0.0,82.9
2024-05-14,R01,6,5,6,0,1,57.3,0.0,70.2
2024-05-15,R01,4,3,4,0,1,36.5,0.0,67.1
2024-05-16,R01,5,5,5,0,0,51.1,0.0,75.1
2024-05-17,R01,2,4,2,2,0,47.0,0.0,86.4
2024-05-21,R01,5,5,5,0,0,53.2,0.0,78.2
2024-05-22,R01,3,4,3,1,0,43.9,0.0,80.7
2024-05-23,R01,6,5,6,0,1,56.3,0.0,69.0
2024-05-24,R01,3,3,3,0,0,34.0,0.0,83.3
2024-05-27,R01,5,4,5,0,1,46.7,0.0,68.7
2024-05-28,R01,5,6,5,1,0,73.4,0.0,90.0
2024-05-29,R01,3,5,3,2,0,62.1,0.0,91.3
2024-05-31,R01,3,2,3,0,1,22.4,0.0,54.9
2024-06-03,R01,5,3,5,0,2,37.0,0.0,54.4
2024-06-04,R01,6,5,6,0,1,62.1,0.0,76.1
2024-06-05,R01,5,4,5,0,1,43.0,0.0,63.2
2024-06-06,R01,5,5,5,0,0,52.2,0.0,76.8
2024-06-07,R01,2,3,2,0,0,36.7,11.7,100.0
2024-06-10,R01,4,5,4,0,0,42.5,4.1,78.1
2024-06-11,R01,6,5,6,0,1,57.3,0.0,75.3
2024-06-12,R01,5,3,5,0,2,32.5,0.0,47.8
2024-06-13,R01,6,5,6,0,1,60.4,0.0,74.0
2024-06-14,R01,2,3,2,0,0,28.7,3.7,100.0
2024-06-17,R01,4,5,4,1,0,51.7,0.0,76.0
2024-06-18,R01,5,5,5,0,0,53.3,0.0,78.4
2024-06-19,R01,3,3,3,0,0,35.2,0.0,86.3
2024-06-20,R01,5,4,5,0,1,48.4,0.0,71.2
2024-06-21,R01,3,4,3,0,0,39.3,1.8,96.3
2024-06-24,R01,5,5,5,0,0,49.7,0.0,73.1
2024-06-25,R01,5,5,5,0,0,59.7,0.0,87.8
2024-06-26,R01,4,4,4,0,0,49.9,0.0,91.7
2024-06-27,R01,4,6,4,2,0,73.0,0.0,89.5
2024-06-28,R01,3,3,3,0,0,32.6,0.0,79.9
2024-07-01,R01,6,4,6,0,2,42.7,0.0,52.3
2024-07-02,R01,5,6,5,0,0,63.6,1.0,93.5
2024-07-03,R01,4,4,4,0,0,36.8,0.0,69.6
2024-07-04,R01,6,5,6,0,1,54.2,0.0,66.4
2024-07-05,R01,3,3,3,0,0,30.9,0.0,75.7
2024-07-08,R01,5,4,5,0,1,43.9,0.0,64.6
2024-07-09,R01,6,5,6,0,1,57.8,0.0,70.8
2024-07-10,R01,4,3,4,0,1,33.9,0.0,62.3
2024-07-11,R01,5,5,5,0,0,53.7,0.0,79.0
2024-07-12,R01,3,4,3,0,0,41.5,4.0,100.0
2024-07-15,R01,4,5,4,1,0,51.2,0.0,75.3
2024-07-16,R01,5,6,5,1,0,72.5,0.0,88.8
2024-07-17,R01,4,3,4,0,1,31.0,0.0,57.0
2024-07-18,R01,5,6,5,0,0,63.8,1.2,93.8
2024-07-19,R01,4,3,4,0,1,33.4,0.0,63.7
2024-07-22,R01,5,4,5,0,1,42.1,0.0,61.9
2024-07-23,R01,5,5,5,0,0,52.6,0.0,77.4
2024-07-24,R01,3,4,3,0,0,39.5,2.0,96.8
2024-07-25,R01,7,5,7,0,2,54.2,0.0,59.0
2024-07-26,R01,3,2,3,0,1,22.2,0.0,54.4
2024-07-29,R01,5,3,5,0,2,32.5,0.0,47.8
2024-07-30,R01,6,6,6,0,0,64.3,0.0,78.8
2024-07-31,R01,4,3,4,0,1,25.1,0.0,46.1
2024-08-01,R01,5,5,5,0,0,53.3,0.0,78.4
2024-08-02,R01,2,2,2,0,0,22.9,0.0,84.2
2024-08-05,R01,4,3,4,0,1,35.0,0.0,64.3
2024-08-06,R01,6,6,6,0,0,63.4,0.0,77.7
2024-08-07,R01,3,3,3,0,0,36.3,0.0,89.0
2024-08-08,R01,5,4,5,0,1,48.2,0.0,70.9
2024-08-09,R01,2,3,2,0,0,25.8,0.8,94.9
2024-08-12,R01,4,4,4,0,0,37.2,0.0,68.4
2024-08-13,R01,7,4,7,0,3,49.5,0.0,52.0
2024-08-14,R01,4,3,4,0,1,33.3,0.0,61.2
2024-08-15,R01,4,5,4,1,0,56.8,0.0,83.5
2024-08-16,R01,3,4,3,1,0,44.8,0.0,82.4
2024-08-19,R01,4,4,4,0,0,40.9,0.0,75.2
2024-08-20,R01,5,6,5,1,0,69.8,0.0,85.5
2024-08-21,R01,2,3,2,0,0,33.2,8.2,100.0
2024-08-22,R01,5,4,5,0,1,41.0,0.0,72.3
2024-08-23,R01,4,3,4,0,1,33.3,0.0,61.2
2024-08-26,R01,5,3,5,0,2,37.2,0.0,54.7
2024-08-27,R01,6,4,6,0,2,49.7,0.0,60.9
2024-08-28,R01,3,2,3,0,1,23.5,0.0,57.6
2024-08-29,R01,4,5,4,0,0,59.9,9.9,100.0
2024-08-30,R01,3,3,3,0,0,25.4,0.0,86.4
2024-09-02,R01,3,4,3,0,0,40.3,2.8,98.8
2024-09-03,R01,4,5,4,1,0,59.5,0.0,91.6
2024-09-04,R01,2,3,2,1,0,31.0,0.0,76.0
2024-09-05,R01,4,5,4,0,0,54.6,4.6,100.0
2024-09-06,R01,3,4,3,0,0,33.5,0.5,93.3
2024-09-09,R01,4,4,4,0,0,45.9,0.0,84.4
2024-09-10,R01,4,7,4,2,0,79.7,4.6,97.7
2024-09-11,R01,2,4,2,1,0,39.4,6.5,100.0
2024-09-12,R01,4,7,4,3,0,80.7,0.0,91.6
2024-09-13,R01,3,4,3,0,0,39.0,1.5,95.6
2024-09-16,R01,5,4,5,0,1,41.7,0.0,61.3
2024-09-17,R01,6,6,6,0,0,66.6,0.0,81.6
2024-09-18,R01,3,3,3,0,0,28.4,0.0,69.6
2024-09-19,R01,6,6,6,0,0,64.2,0.0,78.7
2024-09-20,R01,4,3,4,0,1,37.3,0.0,68.6
2024-09-23,R01,4,4,4,0,0,46.4,0.0,85.3
2024-09-24,R01,6,4,6,0,2,44.0,0.0,53.9
2024-09-25,R01,3,4,3,0,0,38.9,1.4,95.3
2024-09-26,R01,7,6,7,0,1,66.6,0.0,71.4
2024-09-27,R01,3,3,3,0,0,30.7,0.0,75.2
2024-09-30,R01,4,4,4,0,0,48.4,0.0,89.0
2024-10-01,R01,5,6,5,1,0,69.3,0.0,84.9
2024-10-02,R01,3,4,3,1,0,43.7,0.0,80.3
2024-10-04,R01,3,2,3,0,1,23.3,0.0,57.1
2024-10-07,R01,5,3,5,0,2,36.5,0.0,53.7
2024-10-08,R01,5,6,5,1,0,68.6,0.0,84.1
2024-10-09,R01,4,3,4,0,1,31.9,0.0,58.6
2024-10-10,R01,6,5,6,0,1,57.1,0.0,70.0
2024-10-11,R01,3,3,3,0,0,31.1,0.0,76.2
2024-10-14,R01,4,3,4,0,1,36.0,0.0,66.2
2024-10-15,R01,6,6,6,0,0,64.1,0.0,78.6
2024-10-16,R01,3,3,3,0,0,35.8,0.0,87.7
2024-10-17,R01,5,5,5,0,0,54.5,0.0,80.1
2024-10-18,R01,2,3,2,0,0,25.4,0.4,93.4
2024-10-21,R01,4,4,4,0,0,43.7,0.0,80.3
2024-10-22,R01,6,5,6,0,1,54.9,0.0,67.3
2024-10-23,R01,3,5,3,1,0,50.2,0.2,92.3
2024-10-24,R01,5,6,5,0,0,63.1,0.7,93.0
2024-10-25,R01,3,3,3,0,0,29.8,0.0,74.7
2024-10-28,R01,4,4,4,0,0,43.8,0.0,80.5
2024-10-29,R01,6,6,6,0,0,64.5,0.0,79.0
2024-10-30,R01,4,4,4,0,0,43.3,0.0,79.6
2024-10-31,R01,5,7,5,0,0,75.8,13.2,100.0
2024-11-04,R01,4,5,4,0,0,38.1,1.3,70.0
2024-11-05,R01,5,5,5,0,0,53.9,0.0,81.2
2024-11-06,R01,4,3,4,0,1,27.7,0.0,50.9
2024-11-07,R01,7,5,7,0,2,51.7,0.0,54.3
2024-11-08,R01,3,3,3,0,0,35.0,0.0,85.8
2024-11-11,R01,5,4,5,0,1,48.1,0.0,70.7
2024-11-12,R01,5,5,5,0,0,55.6,0.0,81.8
2024-11-13,R01,4,4,4,0,0,39.3,0.0,72.2
2024-11-14,R01,5,3,5,0,2,32.6,0.0,47.9
2024-11-15,R01,2,5,2,0,0,59.1,34.1,100.0
2024-11-18,R01,4,7,4,3,0,46.6,0.0,48.9
2024-11-19,R01,5,7,5,1,0,80.0,4.9,98.0
2024-11-20,R01,4,4,4,0,0,36.7,0.0,76.5
2024-11-21,R01,4,5,4,0,0,62.4,12.4,100.0
2024-11-22,R01,4,3,4,0,1,23.3,0.0,65.5
2024-11-25,R01,6,4,6,0,2,40.5,0.0,49.6
2024-11-26,R01,6,5,6,0,1,51.9,0.0,63.6
2024-11-27,R01,4,3,4,0,1,37.4,0.0,68.8
2024-11-28,R01,4,5,4,1,0,61.2,0.0,90.0
2024-11-29,R01,4,3,4,0,1,30.6,0.0,56.2
2024-12-02,R01,5,4,5,0,1,47.5,0.0,69.9
2024-12-03,R01,5,5,5,0,0,58.3,0.0,85.7
2024-12-04,R01,4,4,4,0,0,46.0,0.0,84.6
2024-12-05,R01,5,6,5,1,0,70.5,0.0,86.4
2024-12-06,R01,3,2,3,0,1,22.9,0.0,56.1
2024-12-09,R01,4,4,4,0,0,44.7,0.0,82.2
2024-12-10,R01,5,5,5,0,0,60.0,0.0,88.2
2024-12-11,R01,4,3,4,0,1,32.0,0.0,58.8
2024-12-12,R01,6,5,6,0,1,60.9,0.0,74.6
2024-12-13,R01,2,3,2,1,0,37.2,0.0,91.2
2024-12-16,R01,4,4,4,0,0,49.7,0.0,91.4
2024-12-17,R01,5,6,5,1,0,70.0,0.0,85.8
2024-12-18,R01,3,4,3,0,0,37.7,0.2,92.4
2024-12-19,R01,5,5,5,0,0,57.6,0.0,84.9
2024-12-20,R01,3,3,3,0,0,33.5,0.0,82.1
2024-12-23,R01,4,3,4,0,1,25.4,0.0,46.7
2024-12-24,R01,5,5,5,0,0,53.6,0.0,78.8
2024-12-27,R01,3,1,3,0,2,9.0,0.0,22.1
2024-12-30,R01,4,3,4,0,1,27.0,0.0,49.6
2024-12-31,R01,4,4,4,0,0,41.7,0.0,76.7
2025-01-02,R01,5,3,5,0,2,29.6,0.0,43.5
2025-01-03,R01,2,2,2,0,0,16.1,0.0,59.2
2025-01-07,R01,4,5,4,1,0,55.8,0.0,82.1
2025-01-08,R01,4,3,4,0,1,30.5,0.0,56.1
2025-01-09,R01,4,6,4,2,0,68.7,0.0,84.2
2025-01-10,R01,2,3,2,0,0,29.2,4.2,100.0
2025-01-13,R01,3,3,3,0,0,26.9,0.0,65.9
2025-01-14,R01,5,5,5,0,0,57.0,0.0,83.8
2025-01-15,R01,2,3,2,1,0,30.8,0.0,75.5
2025-01-16,R01,5,5,5,0,0,56.0,0.0,82.4
2025-01-17,R01,3,3,3,0,0,31.1,0.0,76.2
2025-01-20,R01,4,4,4,0,0,37.7,0.0,69.3
2025-01-21,R01,5,5,5,0,0,54.7,0.0,80.4
2025-01-22,R01,3,5,3,1,0,50.8,0.8,93.4
2025-01-23,R01,5,5,5,0,0,51.8,0.0,77.3
2025-01-24,R01,2,2,2,0,0,22.6,0.0,83.1
2025-01-27,R01,4,3,4,0,1,32.0,0.0,58.8
2025-01-28,R01,4,5,4,1,0,57.8,0.0,85.0
2025-01-29,R01,4,3,4,0,1,35.2,0.0,64.7
2025-01-30,R01,6,7,6,0,0,82.0,6.9,100.0
2025-01-31,R01,3,3,3,0,0,30.0,0.0,90.5
2025-02-03,R01,4,4,4,0,0,43.9,0.0,80.7
2025-02-04,R01,5,5,5,0,0,58.2,0.0,85.6
2025-02-05,R01,4,4,4,0,0,39.6,0.0,72.8
2025-02-06,R01,5,4,5,0,1,46.0,0.0,67.6
2025-02-07,R01,3,4,3,0,0,43.6,6.1,100.0
2025-02-10,R01,4,4,4,0,0,33.8,0.0,62.1
2025-02-11,R01,5,6,5,0,0,65.3,2.7,96.0
2025-02-12,R01,4,3,4,0,1,34.1,0.0,67.7
2025-02-13,R01,5,5,5,0,0,58.5,0.0,86.0
2025-02-14,R01,3,3,3,0,0,31.9,0.0,78.2
2025-02-17,R01,4,4,4,0,0,38.4,0.0,70.6
2025-02-18,R01,5,6,5,0,0,66.2,3.6,97.4
2025-02-19,R01,3,4,3,1,0,39.4,0.0,79.1
2025-02-20,R01,5,5,5,0,0,57.1,0.0,84.0
2025-02-21,R01,2,3,2,0,0,26.4,1.4,97.1
2025-02-24,R01,4,4,4,0,0,48.4,0.0,89.0
2025-02-25,R01,5,5,5,0,0,54.3,0.0,79.9
2025-02-26,R01,4,4,4,0,0,38.1,0.0,70.0
2025-02-27,R01,5,4,5,0,1,49.2,0.0,72.4
2025-02-28,R01,3,3,3,0,0,26.3,0.0,64.5
2025-03-03,R01,4,5,4,0,0,53.7,3.7,98.7
2025-03-04,R01,5,5,5,0,0,54.1,0.0,84.9
2025-03-05,R01,4,4,4,0,0,39.5,0.0,72.6
2025-03-06,R01,5,5,5,0,0,58.5,0.0,86.0
2025-03-07,R01,3,3,3,0,0,34.3,0.0,84.1
2025-03-10,R01,5,4,5,0,1,48.7,0.0,71.6
2025-03-11,R01,5,7,5,1,0,77.3,2.2,94.7
2025-03-12,R01,4,4,4,0,0,42.7,0.0,82.6
2025-03-13,R01,6,5,6,0,1,51.7,0.0,63.4
2025-03-14,R01,3,3,3,0,0,36.9,0.0,90.4
2025-03-17,R01,5,4,5,0,1,41.5,0.0,61.0
2025-03-18,R01,6,5,6,0,1,53.8,0.0,65.9
2025-03-19,R01,4,3,4,0,1,34.2,0.0,62.9
2025-03-20,R01,5,5,5,0,0,53.2,0.0,78.2
2025-03-21,R01,3,3,3,0,0,29.2,0.0,71.6
2025-03-24,R01,4,4,4,0,0,43.7,0.0,80.3
2025-03-25,R01,5,7,5,2,0,81.4,0.0,85.5
2025-03-26,R01,4,4,4,0,0,43.7,0.0,80.3
2025-03-27,R01,5,5,5,0,0,59.1,0.0,86.9
2025-03-28,R01,3,3,3,0,0,35.9,0.0,88.0
2025-03-31,R01,5,3,5,0,2,36.3,0.0,53.4
2025-04-01,R01,6,5,6,0,1,54.4,0.0,66.7
2025-04-02,R01,4,5,4,0,0,51.1,1.1,93.9
2025-04-03,R01,5,6,5,1,0,68.1,0.0,84.7
2025-04-04,R01,3,2,3,0,1,22.4,0.0,54.9
2025-04-07,R01,4,4,4,0,0,47.3,0.0,86.9
2025-04-08,R01,6,6,6,0,0,74.9,0.0,91.8
2025-04-09,R01,4,4,4,0,0,41.4,0.0,76.1
2025-04-10,R01,6,6,6,0,0,74.8,0.0,91.7
2025-04-11,R01,3,3,3,0,0,25.7,0.0,63.0
2025-04-14,R01,4,5,4,0,0,51.3,1.3,94.3
2025-04-15,R01,5,6,5,1,0,69.3,0.0,86.5
2025-04-16,R01,4,4,4,0,0,47.0,0.0,86.4
2025-04-17,R01,5,5,5,0,0,60.3,0.0,88.7
2025-04-22,R01,6,6,6,0,0,70.5,0.0,86.4
2025-04-23,R01,4,3,4,0,1,35.7,0.0,65.6
2025-04-24,R01,6,6,6,0,0,66.4,0.0,81.4
2025-04-25,R01,4,3,4,0,1,29.0,0.0,53.3
2025-04-28,R01,5,4,5,0,1,44.2,0.0,65.0
2025-04-29,R01,6,6,6,0,0,63.5,0.0,77.8
2025-04-30,R01,3,4,3,0,0,38.9,1.4,95.3
2025-05-02,R01,2,3,2,0,0,25.9,2.2,95.2
2025-05-05,R01,5,5,5,0,0,48.2,0.0,70.9
2025-05-06,R01,6,5,6,0,1,50.5,0.0,61.9
2025-05-07,R01,4,4,4,0,0,39.9,0.0,73.3
2025-05-08,R01,6,6,6,0,0,65.8,0.0,80.6
2025-05-09,R01,3,3,3,0,0,28.2,0.0,69.1
2025-05-12,R01,5,4,5,0,1,43.6,0.0,64.1
2025-05-13,R01,5,6,5,1,0,73.5,0.0,90.1
2025-05-14,R01,4,3,4,0,1,33.3,0.0,61.2
2025-05-15,R01,5,5,5,0,0,58.6,0.0,86.2
2025-05-16,R01,2,3,2,1,0,30.4,0.0,74.5
2025-05-19,R01,4,4,4,0,0,45.1,0.0,82.9
2025-05-20,R01,6,7,6,0,0,76.9,1.8,94.2
2025-05-21,R01,4,4,4,0,0,36.0,0.0,69.5
2025-05-22,R01,6,5,6,0,1,57.9,0.0,71.0
2025-05-23,R01,3,3,3,0,0,31.2,0.0,76.5
2025-05-26,R01,4,4,4,0,0,47.2,0.0,86.8
2025-05-27,R01,8,6,8,0,2,68.1,0.0,62.6
2025-05-28,R01,4,4,4,0,0,39.2,0.0,72.1
2025-05-30,R01,2,2,2,0,0,17.5,0.0,64.3
2025-06-02,R01,4,4,4,0,0,38.6,0.0,71.0
2025-06-03,R01,7,5,7,0,2,57.7,0.0,60.6
2025-06-04,R01,4,4,4,0,0,48.2,0.0,88.6
2025-06-05,R01,5,6,5,1,0,69.6,0.0,85.3
2025-06-06,R01,2,4,2,1,0,40.2,2.7,98.5
2025-06-10,R01,5,6,5,0,0,64.7,4.8,95.1
2025-06-11,R01,3,4,3,0,0,33.0,0.3,92.7
2025-06-12,R01,4,6,4,1,0,70.9,8.6,100.0
2025-06-13,R01,3,4,3,0,0,33.5,4.6,100.0
2025-06-16,R01,5,5,5,0,0,47.3,0.0,69.6
2025-06-17,R01,5,5,5,0,0,56.4,0.0,82.9
2025-06-18,R01,3,4,3,1,0,45.6,0.0,83.8
2025-06-20,R01,4,3,4,0,1,27.6,0.0,50.7
2025-06-23,R01,5,4,5,0,1,46.1,0.0,67.8
2025-06-24,R01,5,7,5,1,0,76.6,1.5,93.9
2025-06-25,R01,4,4,4,0,0,41.3,0.0,78.7
2025-06-26,R01,7,7,7,0,0,82.1,0.0,86.2
2025-06-27,R01,3,4,3,1,0,48.1,0.0,88.4
2025-06-30,R01,4,4,4,0,0,49.0,0.0,90.1
2025-07-01,R01,6,6,6,0,0,70.1,0.0,85.9
2025-07-02,R01,5,4,5,0,1,42.3,0.0,62.2
2025-07-03,R01,6,6,6,0,0,70.7,0.0,86.6
2025-07-04,R01,3,3,3,0,0,34.7,0.0,85.0
2025-07-07,R01,5,6,5,0,0,63.9,1.3,94.0
2025-07-08,R01,6,6,6,0,0,66.7,0.0,83.4
2025-07-09,R01,4,4,4,0,0,37.8,0.0,69.5
2025-07-10,R01,6,7,6,0,0,78.4,3.3,96.1
2025-07-11,R01,4,4,4,0,0,34.5,0.0,69.5
2025-07-14,R01,5,5,5,0,0,55.1,0.0,81.0
2025-07-15,R01,7,6,7,0,1,68.8,0.0,72.3
2025-07-16,R01,4,4,4,0,0,46.5,0.0,85.5
2025-07-17,R01,7,4,7,0,3,48.1,0.0,50.5
2025-07-18,R01,4,4,4,0,0,46.8,0.0,86.0
2025-07-21,R01,5,4,5,0,1,44.0,0.0,64.7
2025-07-22,R01,6,6,6,0,0,70.3,0.0,86.2
2025-07-23,R01,5,3,5,0,2,36.1,0.0,53.1
2025-07-24,R01,6,6,6,0,0,64.3,0.0,78.8
2025-07-25,R01,4,3,4,0,1,37.2,0.0,68.4
2025-07-28,R01,5,4,5,0,1,39.7,0.0,58.4
2025-07-29,R01,6,6,6,0,0,67.1,0.0,82.2
2025-07-30,R01,3,4,3,0,0,41.0,3.5,100.0
2025-07-31,R01,5,6,5,0,0,64.2,5.1,99.5
2025-08-01,R01,3,3,3,0,0,29.2,0.0,84.1
2025-08-04,R01,5,3,5,0,2,34.8,0.0,51.2
2025-08-05,R01,7,5,7,0,2,59.9,0.0,62.9
2025-08-06,R01,4,3,4,0,1,27.6,0.0,50.7
2025-08-07,R01,6,4,6,0,2,46.1,0.0,56.5
2025-08-08,R01,3,2,3,0,1,24.3,0.0,59.6
2025-08-11,R01,4,3,4,0,1,35.8,0.0,65.8
2025-08-12,R01,6,5,6,0,1,51.4,0.0,63.0
2025-08-13,R01,4,3,4,0,1,32.5,0.0,59.7
2025-08-14,R01,6,6,6,0,0,65.9,0.0,80.8
2025-08-15,R01,3,3,3,0,0,28.8,0.0,70.6
2025-08-18,R01,3,4,3,0,0,38.8,1.3,95.1
2025-08-19,R01,6,5,6,0,1,57.7,0.0,72.3
2025-08-20,R01,3,3,3,0,0,34.2,0.0,83.8
2025-08-21,R01,5,6,5,1,0,68.8,0.0,84.3
2025-08-22,R01,3,2,3,0,1,21.1,0.0,51.7
2025-08-25,R01,4,3,4,0,1,34.2,0.0,62.9
2025-08-26,R01,5,5,5,0,0,60.6,0.0,89.1
2025-08-27,R01,3,4,3,1,0,44.0,0.0,80.9
2025-08-28,R01,7,6,7,0,1,70.3,0.0,73.8
2025-08-29,R01,3,2,3,0,1,19.2,0.0,47.1
2025-09-01,R01,4,3,4,0,1,30.7,0.0,56.4
2025-09-02,R01,4,4,4,0,0,44.6,0.0,82.0
2025-09-03,R01,3,3,3,0,0,30.7,0.0,75.2
2025-09-04,R01,5,5,5,0,0,56.9,0.0,83.7
2025-09-05,R01,2,2,2,0,0,21.9,0.0,80.5
2025-09-08,R01,3,3,3,0,0,33.1,0.0,81.1
2025-09-09,R01,5,6,5,0,0,64.6,2.0,95.0
2025-09-10,R01,3,4,3,0,0,38.1,2.6,98.4
2025-09-11,R01,6,5,6,0,1,57.6,0.0,73.8
2025-09-12,R01,2,3,2,0,0,28.2,3.2,100.0
2025-09-15,R01,3,5,3,0,0,47.6,13.2,100.0
2025-09-16,R01,5,8,5,3,0,83.1,0.0,88.5
2025-09-17,R01,4,4,4,0,0,46.1,0.0,84.7
2025-09-18,R01,6,6,6,0,0,64.0,0.0,78.4
2025-09-19,R01,2,4,2,0,0,42.3,17.3,100.0
